Text,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Engagement,Sentiment
 Enjoying a beautiful day at the park!              ,2023-01-15 12:30:00, User123      , Twitter  ,15.0,30.0, USA      ,2023,1,45.0,Very Positive
 Traffic was terrible this morning.                 ,2023-01-15 08:45:00, CommuterX    , Twitter  ,5.0,10.0, Canada   ,2023,1,15.0,Very Negative
 Just finished an amazing workout! 💪               ,2023-01-15 15:45:00, FitnessFan   , Instagram ,20.0,40.0, USA        ,2023,1,60.0,Very Positive
 Excited about the upcoming weekend getaway!        ,2023-01-15 18:20:00, AdventureX   , Facebook ,8.0,15.0, UK       ,2023,1,23.0,Positive
 Trying out a new recipe for dinner tonight.        ,2023-01-15 19:55:00, ChefCook     , Instagram ,12.0,25.0, Australia ,2023,1,37.0,Positive
 Feeling grateful for the little things in life.    ,2023-01-16 09:10:00, GratitudeNow , Twitter  ,25.0,50.0, India    ,2023,1,75.0,Negative
 Rainy days call for cozy blankets and hot cocoa.   ,2023-01-16 14:45:00, RainyDays    , Facebook ,10.0,20.0, Canada   ,2023,1,30.0,Neutral
 The new movie release is a must-watch!             ,2023-01-16 19:30:00, MovieBuff    , Instagram ,15.0,30.0, USA    ,2023,1,45.0,Positive
 Political discussions heating up on the timeline.  ,2023-01-17 08:00:00, DebateTalk   , Twitter  ,30.0,60.0, USA      ,2023,1,90.0,Neutral
 Missing summer vibes and beach days.               ,2023-01-17 12:20:00, BeachLover   , Facebook ,18.0,35.0, Australia ,2023,1,53.0,Negative
 Just published a new blog post. Check it out!      ,2023-01-17 15:15:00, BloggerX     , Instagram ,22.0,45.0,USA,2023,1,67.0,Positive
 Feeling a bit under the weather today.             ,2023-01-18 10:30:00, WellnessCheck, Twitter  ,7.0,15.0, Canada   ,2023,1,22.0,Neutral
 Exploring the city's hidden gems.                  ,2023-01-18 14:50:00, UrbanExplorer, Facebook ,12.0,25.0, UK       ,2023,1,37.0,Negative
" New year, new fitness goals! 💪                    ",2023-01-18 18:00:00, FitJourney   , Instagram ,28.0,55.0, USA        ,2023,1,83.0,Positive
 Technology is changing the way we live.            ,2023-01-19 09:45:00, TechEnthusiast, Twitter  ,15.0,30.0, India    ,2023,1,45.0,Positive
 Reflecting on the past and looking ahead.          ,2023-01-19 13:20:00, Reflections  , Facebook ,20.0,40.0, USA      ,2023,1,60.0,Negative
 Just adopted a cute furry friend! 🐾              ,2023-01-19 17:10:00, PetAdopter   , Instagram ,15.0,30.0, Canada    ,2023,1,45.0,Very Positive
 Late-night gaming session with friends.            ,2023-01-20 00:05:00, GamerX       , Twitter  ,18.0,35.0, UK       ,2023,1,53.0,Neutral
 Attending a virtual conference on AI.              ,2023-01-20 11:30:00, TechConference, Facebook ,25.0,50.0,USA,2023,1,75.0,Neutral
 Winter blues got me feeling low.                   ,2023-01-20 15:15:00, WinterBlues  , Instagram ,8.0,15.0, USA       ,2023,1,23.0,Neutral
 Sipping coffee and enjoying a good book.           ,2023-01-21 08:40:00, Bookworm     , Twitter  ,22.0,45.0, India    ,2023,1,67.0,Very Positive
 Exploring the world of virtual reality.            ,2023-01-21 13:20:00, VRExplorer   , Facebook ,15.0,30.0,USA,2023,1,45.0,Neutral
 Productive day ticking off my to-do list.          ,2023-01-21 16:45:00, ProductivityPro, Instagram ,30.0,60.0, USA ,2023,1,90.0,Neutral
 Just finished a challenging workout routine.       ,2023-01-22 09:15:00, FitnessWarrior, Twitter  ,20.0,40.0, UK       ,2023,1,60.0,Positive
 Celebrating a milestone at work! 🎉               ,2023-01-22 14:30:00, CareerMilestone, Facebook ,12.0,25.0, Canada  ,2023,1,37.0,Neutral
 Sunday brunch with friends.                        ,2023-01-22 12:00:00, BrunchBuddy  , Instagram ,15.0,30.0, UK ,2023,1,45.0,Neutral
 Learning a new language for personal growth.       ,2023-01-23 16:20:00, LanguageLearner, Facebook ,25.0,50.0, India     ,2023,1,75.0,Neutral
 Quiet evening with a good book.                    ,2023-01-23 19:45:00, BookLover    , Instagram ,15.0,30.0, Australia ,2023,1,45.0,Positive
 Reflecting on the importance of mental health.     ,2023-01-24 11:30:00, MentalHealthMatters, Twitter  ,22.0,45.0, USA      ,2023,1,67.0,Neutral
 New painting in progress! 🎨                       ,2023-01-24 15:00:00, ArtistInAction, Facebook ,12.0,25.0, Canada ,2023,1,37.0,Positive
 Weekend road trip to explore scenic views.         ,2023-01-24 17:30:00, RoadTripper  , Instagram ,18.0,35.0, UK        ,2023,1,53.0,Neutral
 Enjoying a cup of tea and watching the sunset.     ,2023-01-25 18:00:00, SunsetWatcher, Twitter  ,15.0,30.0, India    ,2023,1,45.0,Positive
 Coding a new project with enthusiasm.              ,2023-01-25 13:15:00, CodeEnthusiast, Facebook ,30.0,60.0, USA ,2023,1,90.0,Positive
 Feeling inspired after attending a workshop.       ,2023-01-26 09:45:00, WorkshopAttendee, Instagram ,25.0,50.0,USA,2023,1,75.0,Neutral
 Winter sports day at the local park.               ,2023-01-26 14:20:00, WinterSports  , Twitter  ,15.0,30.0, Canada   ,2023,1,45.0,Neutral
 Quality time with family this weekend.             ,2023-01-26 17:40:00, FamilyTime   , Facebook ,22.0,45.0, UK        ,2023,1,67.0,Neutral
 Attending a live music concert tonight.            ,2023-01-27 20:00:00, MusicLover   , Instagram ,18.0,35.0, USA ,2023,1,53.0,Positive
 Practicing mindfulness with meditation.            ,2023-01-27 12:30:00, MindfulMoments, Twitter  ,15.0,30.0, India    ,2023,1,45.0,Neutral
 Trying out a new dessert recipe.                   ,2023-01-27 16:10:00, DessertExplorer, Facebook ,12.0,25.0, Canada ,2023,1,37.0,Positive
 Excited about the upcoming gaming tournament.      ,2023-01-28 09:00:00, GamingEnthusiast, Instagram ,30.0,60.0,USA,2023,1,90.0,Positive
 Planning a garden makeover for spring.             ,2023-01-28 14:45:00, GardenPlanner , Twitter  ,25.0,50.0, USA      ,2023,1,75.0,Neutral
 Celebrating a friend's birthday tonight! 🎂       ,2023-01-28 19:30:00, BirthdayBash , Facebook ,15.0,30.0, UK ,2023,1,45.0,Neutral
 Feeling accomplished after a productive day.       ,2023-01-29 17:00:00, ProductivityWin, Instagram ,22.0,45.0, India ,2023,1,67.0,Positive
 A cozy evening with a good movie.                 ,2023-01-29 20:20:00, MovieNight   , Twitter  ,18.0,35.0, Canada   ,2023,1,53.0,Positive
 Exploring local art galleries this weekend.        ,2023-01-30 11:30:00, ArtExplorer  , Facebook ,15.0,30.0, USA      ,2023,1,45.0,Neutral
 New book release from my favorite author!          ,2023-01-30 15:45:00, BookwormX    , Instagram ,12.0,25.0, UK   ,2023,1,37.0,Positive
 Attending a virtual reality meetup.                ,2023-01-30 18:30:00, VRMeetup     , Twitter  ,28.0,55.0, India    ,2023,1,83.0,Neutral
 Reflecting on the beauty of nature.                ,2023-01-31 10:45:00, NatureLover  , Facebook ,15.0,30.0, Australia ,2023,1,45.0,Neutral
 Cooking a special dinner for loved ones.           ,2023-01-31 19:00:00, ChefAtHome   , Instagram ,20.0,40.0, USA       ,2023,1,60.0,Very Positive
 Feeling optimistic about the week ahead.           ,2023-01-31 16:20:00, OptimisticMindset, Twitter  ,15.0,30.0, Canada   ,2023,1,45.0,Neutral
 Starting a new fitness challenge tomorrow! 💪     ,2023-02-01 08:00:00, FitnessChallenge, Facebook ,22.0,45.0, UK         ,2023,2,67.0,Neutral
